Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Weibullsholm;52620;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;momentanvärde, 1 gång/tim;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-07-01 00:00:00;1966-12-31 23:59:59;5.0;55.8722;12.8556

Datum;Tid (UTC);Lufttemperatur;Kvalitet;;Tidsutsnitt:
1962-07-01;06:00:00;14.2;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-07-02;06:00:00;13.0;G;;Tidsperiod (fr.o.m.) = 1962-07-01 00:00:00 (UTC)
1962-07-03;06:00:00;11.0;G;;Tidsperiod (t.o.m.) = 1966-12-31 23:59:59 (UTC)
1962-07-04;06:00:00;9.0;G;;Samplingstid = Ej angivet
1962-07-05;06:00:00;11.0;G;;Kvalitetskoderna:
1962-07-06;06:00:00;12.5;G;;Grön (G) = Kontrollerade och godkända värden.
1962-07-07;06:00:00;12.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-07-08;06:00:00;15.1;G;;Nätinformation:
1962-07-09;06:00:00;15.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-07-10;06:00:00;15.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1962-07-11;06:00:00;17.0;G;;Möjliga orsaker till saknade data:
1962-07-12;06:00:00;14.0;G;;- stationen eller givaren har varit ur funktion.
1962-07-13;06:00:00;14.5;G;;- stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1962-07-14;06:00:00;12.0;G
1962-07-15;06:00:00;15.0;G
1962-07-16;06:00:00;14.0;G
1962-07-17;06:00:00;15.0;G
1962-07-18;06:00:00;16.3;G
1962-07-19;06:00:00;16.5;G
1962-07-20;06:00:00;16.0;G
1962-07-21;06:00:00;16.3;G
1962-07-22;06:00:00;16.9;G
1962-07-23;06:00:00;15.2;G
1962-07-24;06:00:00;13.3;G
1962-07-25;06:00:00;13.5;G
1962-07-26;06:00:00;14.3;G
1962-07-27;06:00:00;13.0;G
1962-07-28;06:00:00;14.0;G
1962-07-29;06:00:00;16.0;G
1962-07-30;06:00:00;16.0;G
1962-07-31;06:00:00;12.5;G
1962-08-01;06:00:00;14.4;G
1962-08-02;06:00:00;14.2;G
1962-08-03;06:00:00;15.0;G
1962-08-04;06:00:00;14.8;G
1962-08-05;06:00:00;14.2;G
1962-08-06;06:00:00;12.4;G
1962-08-07;06:00:00;13.0;G
1962-08-08;06:00:00;13.7;G
1962-08-09;06:00:00;13.3;G
1962-08-10;06:00:00;15.0;G
1962-08-11;06:00:00;14.0;G
1962-08-12;06:00:00;16.9;G
1962-08-13;06:00:00;15.0;G
1962-08-14;06:00:00;12.5;G
1962-08-15;06:00:00;9.2;G
1962-08-16;06:00:00;14.7;G
1962-08-17;06:00:00;14.0;G
1962-08-18;06:00:00;13.4;G
1962-08-19;06:00:00;13.4;G
1962-08-20;06:00:00;15.0;G
1962-08-21;06:00:00;14.4;G
1962-08-22;06:00:00;14.0;G
1962-08-23;06:00:00;13.0;G
1962-08-24;06:00:00;14.0;G
1962-08-25;06:00:00;14.5;G
1962-08-26;06:00:00;14.4;G
1962-08-27;06:00:00;13.5;G
1962-08-28;06:00:00;13.0;G
1962-08-29;06:00:00;13.0;G
1962-08-30;06:00:00;13.0;G
1962-08-31;06:00:00;12.0;G
1962-09-01;06:00:00;13.0;G
1962-09-02;06:00:00;12.0;G
1962-09-03;06:00:00;14.0;G
1962-09-04;06:00:00;13.0;G
1962-09-05;06:00:00;13.8;G
1962-09-06;06:00:00;14.0;G
1962-09-07;06:00:00;13.0;G
1962-09-08;06:00:00;11.0;G
1962-09-09;06:00:00;12.3;G
1962-09-10;06:00:00;13.5;G
1962-09-11;06:00:00;13.5;G
1962-09-12;06:00:00;13.6;G
1962-09-13;06:00:00;11.5;G
1962-09-14;06:00:00;11.0;G
1962-09-15;06:00:00;9.5;G
1962-09-16;06:00:00;10.2;G
1962-09-17;06:00:00;10.0;G
1962-09-18;06:00:00;6.0;G
1962-09-19;06:00:00;7.0;G
1962-09-20;06:00:00;9.5;G
1962-09-21;06:00:00;11.0;G
1962-09-22;06:00:00;8.2;G
1962-09-23;06:00:00;11.0;G
1962-09-24;06:00:00;4.5;G
1962-09-25;06:00:00;12.0;G
1962-09-26;06:00:00;8.7;G
1962-09-27;06:00:00;10.0;G
1962-09-28;06:00:00;10.0;G
1962-09-29;06:00:00;11.0;G
1962-09-30;06:00:00;12.3;G
1962-10-01;06:00:00;13.0;G
1962-10-02;06:00:00;11.0;G
1962-10-03;06:00:00;12.0;G
1962-10-04;06:00:00;11.5;G
1962-10-05;06:00:00;9.0;G
1962-10-06;06:00:00;8.5;G
1962-10-07;06:00:00;12.0;G
1962-10-08;06:00:00;10.0;G
1962-10-09;06:00:00;9.0;G
