Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Alnarp mellangård;53750;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;momentanvärde, 1 gång/tim;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1941-04-01 00:00:00;1951-05-31 23:59:59;5.0;55.6556;13.0511

Datum;Tid (UTC);Lufttemperatur;Kvalitet;;Tidsutsnitt:
1941-08-10;13:00:00;19.8;G
1941-08-10;18:00:00;15.3;G
1941-08-11;07:00:00;17.2;G
1941-08-11;13:00:00;21.1;G
1941-08-11;18:00:00;16.4;G
1941-08-12;07:00:00;17.9;G
1941-08-12;13:00:00;21.0;G
1941-08-12;18:00:00;17.6;G
1941-08-13;07:00:00;16.6;G
1941-08-13;13:00:00;20.7;G
1941-08-13;18:00:00;15.2;G
1941-08-14;07:00:00;16.1;G
1941-08-14;13:00:00;15.9;G
1941-08-14;18:00:00;14.4;G
1941-08-15;07:00:00;16.2;G
1941-08-15;13:00:00;20.6;G
1941-08-15;18:00:00;15.6;G
1941-08-16;07:00:00;19.1;G
1941-08-16;13:00:00;25.1;G
1941-08-16;18:00:00;19.2;G
1941-08-17;07:00:00;14.8;G
1941-08-17;13:00:00;16.6;G
1941-08-17;18:00:00;15.2;G
1941-08-18;07:00:00;16.5;G
1941-08-18;13:00:00;18.1;G
1941-08-18;18:00:00;17.6;G
1941-08-19;07:00:00;17.0;G
1941-08-19;13:00:00;21.4;G
1941-08-19;18:00:00;17.0;G
1941-08-20;07:00:00;15.9;G
1941-08-20;13:00:00;22.4;G
1941-08-20;18:00:00;17.0;G
1941-08-21;07:00:00;14.0;G
1941-08-21;13:00:00;18.8;G
1941-08-21;18:00:00;15.0;G
1941-08-22;07:00:00;16.8;G
1941-08-22;13:00:00;20.0;G
1941-08-22;18:00:00;15.4;G
1941-08-23;07:00:00;16.4;G
1941-08-23;13:00:00;20.8;G
1941-08-23;18:00:00;15.7;G
1941-08-24;07:00:00;16.2;G
1941-08-24;13:00:00;20.5;G
1941-08-24;18:00:00;16.2;G
1941-08-25;07:00:00;15.4;G
1941-08-25;13:00:00;21.2;G
1941-08-25;18:00:00;16.4;G
1941-08-26;07:00:00;15.2;G
1941-08-26;13:00:00;16.8;G
1941-08-26;18:00:00;16.8;G
1941-08-27;07:00:00;16.9;G
1941-08-27;13:00:00;17.8;G
1941-08-27;18:00:00;15.5;G
1941-08-28;07:00:00;15.2;G
1941-08-28;13:00:00;16.3;G
1941-08-28;18:00:00;16.2;G
1941-08-29;07:00:00;16.6;G
1941-08-29;13:00:00;18.4;G
1941-08-29;18:00:00;15.2;G
1941-08-30;07:00:00;14.0;G
1941-08-30;13:00:00;16.8;G
1941-08-30;18:00:00;13.6;G
1941-08-31;07:00:00;12.4;G
1941-08-31;13:00:00;19.5;G
1941-08-31;18:00:00;14.9;G
1941-09-01;07:00:00;14.4;G
1941-09-01;13:00:00;21.4;G
1941-09-01;18:00:00;17.0;G
1941-09-02;07:00:00;15.5;G
1941-09-02;13:00:00;19.1;G
1941-09-02;18:00:00;15.4;G
1941-09-03;07:00:00;16.0;G
1941-09-03;13:00:00;18.8;G
1941-09-03;18:00:00;15.5;G
1941-09-04;07:00:00;15.4;G
1941-09-04;13:00:00;21.0;G
1941-09-04;18:00:00;17.2;G
1941-09-05;07:00:00;17.3;G
1941-09-05;13:00:00;18.8;G
1941-09-05;18:00:00;14.6;G
1941-09-06;07:00:00;14.2;G
1941-09-06;13:00:00;18.8;G
1941-09-06;18:00:00;14.2;G
1941-09-07;07:00:00;15.0;G
1941-09-07;13:00:00;16.0;G
1941-09-07;18:00:00;13.0;G
1941-09-08;07:00:00;12.0;G
1941-09-08;13:00:00;14.0;G
1941-09-08;18:00:00;10.8;G
1941-09-09;07:00:00;12.0;G
1941-09-09;13:00:00;19.0;G
1941-09-09;18:00:00;13.2;G
1941-09-10;07:00:00;14.1;G
